Family,LowestID,LowestIDNC,SiteCode,Date,Sample,H
-,Acarina,MM999901,NWS006,10/05/2018,P,1
Aeshnidae,Aeshnidae,QO129999,NWS002,8/05/2018,P,1
Aeshnidae,Aeshnidae,QO129999,NWS003,9/05/2018,P,1
Naididae,Allonais inaequalis,LO050404,NWS002,8/05/2018,B,1
Naididae,Allonais inaequalis,LO050404,NWS002,8/05/2018,P,1
Naididae,Allonais inaequalis,LO050404,NWS004,9/05/2018,B,1
Naididae,Allonais inaequalis,LO050404,NWS005,10/05/2018,B,1
Naididae,Allonais inaequalis,LO050404,NWS005,10/05/2018,P,1
Naididae,Allonais ranauana,LO050402,NWS001,8/05/2018,P,1
Naididae,Allonais ranauana,LO050402,NWS002,8/05/2018,B,1
Naididae,Allonais ranauana,LO050402,NWS002,8/05/2018,P,1
Naididae,Allonais ranauana,LO050402,NWS003,9/05/2018,P,1
Naididae,Allonais ranauana,LO050402,NWS004,9/05/2018,B,1
Naididae,Allonais ranauana,LO050402,NWS004,9/05/2018,P,1
Naididae,Allonais ranauana,LO050402,NWS006,10/05/2018,P,1
Aeshnidae,Anax papuensis,QO121204,NWS001,8/05/2018,B,1
Aeshnidae,Anax papuensis,QO121204,NWS002,8/05/2018,B,1
Aeshnidae,Anax papuensis,QO121204,NWS003,9/05/2018,B,1
Aeshnidae,Anax papuensis,QO121204,NWS004,9/05/2018,B,1
Aeshnidae,Anax papuensis,QO121204,NWS004,9/05/2018,P,1
Notonectidae,Anisops nodulatus,QH670419,NWS003,9/05/2018,B,1
Notonectidae,Anisops nodulatus,QH670419,NWS004,9/05/2018,B,1
Notonectidae,Anisops nodulatus,QH670419,NWS006,10/05/2018,P,1
Notonectidae,Anisops nodulatus,QH670419,NWS006,10/05/2018,B,1
Notonectidae,Anisops semitus,QH670425,NWS001,8/05/2018,P,1
Notonectidae,Anisops semitus,QH670425,NWS001,8/05/2018,B,1
Notonectidae,Anisops semitus,QH670425,NWS004,9/05/2018,B,1
Notonectidae,Anisops sp.,QH670499,NWS001,8/05/2018,B,1
Notonectidae,Anisops sp.,QH670499,NWS002,8/05/2018,B,1
Notonectidae,Anisops sp.,QH670499,NWS003,9/05/2018,P,1
Notonectidae,Anisops sp.,QH670499,NWS004,9/05/2018,P,1
Notonectidae,Anisops sp.,QH670499,NWS005,10/05/2018,P,1
Notonectidae,Anisops sp.,QH670499,NWS005,10/05/2018,B,1
Culicidae,Anopheles (Anopheles) bancroftii,QD070106,NWS005,10/05/2018,P,1
Culicidae,Anopheles hilli,QD070114,NWS001,8/05/2018,P,1
Culicidae,Anopheles sp.,QD070199,NWS001,8/05/2018,B,1
Culicidae,Anopheles sp.,QD070199,NWS006,10/05/2018,B,1
